radius_pc,gamma_seg,temperature_K,velocity_excess_km_s,frequency_ratio
3.497595,0.995950,239.027918,0.040668,0.995950
3.507415,0.996026,239.046265,0.039898,0.996026
3.517234,0.996101,239.064316,0.039139,0.996101
3.527054,0.996175,239.082074,0.038394,0.996175
3.536874,0.996248,239.099543,0.037660,0.996248
3.546693,0.996320,239.116728,0.036939,0.996320
3.556513,0.996390,239.133630,0.036230,0.996390
3.566333,0.996459,239.150254,0.035532,0.996459
3.576152,0.996528,239.166604,0.034846,0.996528
3.585972,0.996595,239.182683,0.034171,0.996595
3.595792,0.996660,239.198495,0.033508,0.996660
3.605611,0.996725,239.214042,0.032856,0.996725
3.615431,0.996789,239.229330,0.032215,0.996789
3.625251,0.996851,239.244360,0.031584,0.996851
3.635070,0.996913,239.259137,0.030965,0.996913
3.644890,0.996974,239.273663,0.030356,0.996974
3.654709,0.997033,239.287943,0.029757,0.997033
3.664529,0.997092,239.301979,0.029169,0.997092
3.674349,0.997149,239.315775,0.028591,0.997149
3.684168,0.997206,239.329335,0.028023,0.997206
3.693988,0.997261,239.342660,0.027464,0.997261
3.703808,0.997316,239.355756,0.026916,0.997316
3.713627,0.997369,239.368624,0.026377,0.997369
3.723447,0.997422,239.381268,0.025847,0.997422
3.733267,0.997474,239.393692,0.025327,0.997474
3.743086,0.997525,239.405897,0.024816,0.997525
3.752906,0.997575,239.417889,0.024314,0.997575
3.762725,0.997624,239.429668,0.023820,0.997624
3.772545,0.997672,239.441239,0.023336,0.997672
3.782365,0.997719,239.452605,0.022860,0.997719
3.792184,0.997766,239.463768,0.022393,0.997766
3.802004,0.997811,239.474731,0.021934,0.997811
3.811824,0.997856,239.485498,0.021484,0.997856
3.821643,0.997900,239.496071,0.021041,0.997900
3.831463,0.997944,239.506453,0.020607,0.997944
3.841283,0.997986,239.516647,0.020180,0.997986
3.851102,0.998028,239.526655,0.019762,0.998028
3.860922,0.998069,239.536482,0.019351,0.998069
3.870741,0.998109,239.546128,0.018947,0.998109
3.880561,0.998148,239.555598,0.018551,0.998148
3.890381,0.998187,239.564893,0.018162,0.998187
3.900200,0.998225,239.574016,0.017781,0.998225
3.910020,0.998262,239.582971,0.017406,0.998262
3.919840,0.998299,239.591759,0.017039,0.998299
3.929659,0.998335,239.600383,0.016678,0.998335
3.939479,0.998370,239.608846,0.016325,0.998370
3.949299,0.998405,239.617150,0.015978,0.998405
3.959118,0.998439,239.625298,0.015637,0.998439
3.968938,0.998472,239.633292,0.015303,0.998472
3.978758,0.998505,239.641135,0.014975,0.998505
3.988577,0.998537,239.648828,0.014654,0.998537
3.998397,0.998568,239.656375,0.014338,0.998568
4.008216,0.998599,239.663778,0.014029,0.998599
4.018036,0.998629,239.671039,0.013726,0.998629
4.027856,0.998659,239.678161,0.013428,0.998659
4.037675,0.998688,239.685145,0.013136,0.998688
4.047495,0.998717,239.691994,0.012850,0.998717
4.057315,0.998745,239.698710,0.012570,0.998745
4.067134,0.998772,239.705295,0.012294,0.998772
4.076954,0.998799,239.711752,0.012025,0.998799
4.086774,0.998825,239.718082,0.011760,0.998825
4.096593,0.998851,239.724288,0.011501,0.998851
4.106413,0.998877,239.730372,0.011247,0.998877
4.116232,0.998901,239.736336,0.010998,0.998901
4.126052,0.998926,239.742181,0.010754,0.998926
4.135872,0.998950,239.747911,0.010515,0.998950
4.145691,0.998973,239.753526,0.010280,0.998973
4.155511,0.998996,239.759029,0.010051,0.998996
4.165331,0.999018,239.764422,0.009825,0.999018
4.175150,0.999040,239.769706,0.009605,0.999040
4.184970,0.999062,239.774884,0.009389,0.999062
4.194790,0.999083,239.779958,0.009177,0.999083
