radius_pc,gamma_seg,temperature_K,velocity_excess_km_s
4.433668,0.999482,239.875679,0.005183
4.458291,0.999512,239.882995,0.004878
4.482915,0.999541,239.889918,0.004589
4.507538,0.999569,239.896466,0.004316
4.532161,0.999594,239.902656,0.004058
4.556784,0.999619,239.908508,0.003814
4.581407,0.999642,239.914036,0.003583
4.606030,0.999664,239.919258,0.003365
4.630653,0.999684,239.924188,0.003160
4.655276,0.999704,239.928841,0.002966
4.679899,0.999722,239.933231,0.002783
4.704523,0.999739,239.937371,0.002610
4.729146,0.999755,239.941274,0.002448
4.753769,0.999771,239.944952,0.002294
4.778392,0.999785,239.948417,0.002150
4.803015,0.999799,239.951680,0.002014
4.827638,0.999811,239.954752,0.001886
4.852261,0.999824,239.957643,0.001765
4.876884,0.999835,239.960363,0.001652
4.901508,0.999846,239.962920,0.001545
4.926131,0.999856,239.965324,0.001445
4.950754,0.999865,239.967584,0.001351
4.975377,0.999874,239.969706,0.001262
5.000000,0.999882,239.971698,0.001179
